"","AuthorID","PaperNO","QuestAuthor","Coauthor","Paper","Journal"
"1","1","1","J Smith","","Characterizing Computer Performance with a Single Number ","Commun ACM"
"2","1","2","J Smith","","Comments on ``Redundancy Testing in Combinational Networks'' ","IEEE Trans Computers"
"3","1","3","J Smith","","Decoupled Access/Execute Computer Architectures "," Years ISCA International Symposium Computer Architecture Retrospectives and Reprints"
"4","1","4","J Smith","","Detection of Faults in Programmable Logic Arrays ","IEEE Trans Computers"
"5","1","5","J Smith","","Dynamic Instruction Scheduling and the Astronautics ZS- ","IEEE Computer"
"6","1","6","J Smith","","Measures of the Effectiveness of Fault Signature Analysis ","IEEE Trans Computers"
"7","1","7","J Smith","","Universal System Diagnosis Algorithms ","IEEE Trans Computers"
"8","1","8","J Smith","","On Necessary and Sufficient Conditions for Multiple Fault Undetectability ","IEEE Trans Computers"
"9","1","9","J Smith","","On Separable Unordered Codes ","IEEE Trans Computers"
"10","1","10","J Smith","","Instruction Level Distributed Processing ","HiPC"
"11","1","11","J Smith","","Instruction Level Distributed Processing: Adapting to Future Technology ","ISHPC High Performance Computing"
"12","1","12","J Smith","","Instruction-Level Distributed Processing ","IEEE Computer"
"13","1","13","J Smith","","On the Existence of Combinational Logic Circuits Exhibiting Multiple Redundancy ","IEEE Trans Computers"
"14","1","14","J Smith","","Retrospective: Decoupled Access/Execute Architectures "," Years ISCA International Symposium Computer Architecture Retrospectives and Reprints"
"15","1","15","J Smith","","Retrospective: Implementing Precise Interrupts in Pipelined Processors "," Years ISCA International Symposium Computer Architecture Retrospectives and Reprints"
"16","1","16","J Smith","","Retrospective: A Study of Branch Prediction Strategies "," Years ISCA International Symposium Computer Architecture Retrospectives and Reprints"
"17","1","17","J Smith","","A Study of Branch Prediction Strategies ","ISCA International Symposium Computer Architecture"
"18","1","18","J Smith","Rastislav Bod&iacute;k ; S Subramanya Sastry","Rapid profiling via stratified sampling ","ISCA International Symposium Computer Architecture"
"19","1","19","J Smith","R Canal; A Gonzalez; ; J E Smith","Very Low Power Pipelines using Significance Compression"," rd Int Symp Microarchitecture"
"20","1","20","J Smith","J Cantin; M Lipasti; J E Smith","Dynamic Verification of Cache Coherence Protocols","Workshop Memory Performance issues Gothenburg"
