"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID"
"1","K Tanaka; Eiji Shinohara ; Hiroaki Matsumura ; Hiroshi Sunaga ; Michiharu Takemoto","The Ubiquitous Service-Oriented Network USON - An Approach for a Ubiquitous World Based on P P Technology ","Peer to Peer Computing","10","1","1"
"2","K Tanaka; Choong Seon Hong ; Shinkuro Honda ; Takeshi Yoneda ; Yutaka Matsushita","Multimedia Communication Networking Architecture Model for High Speed Network ","LCN IEEE Conference Local Computer Networks","10","2","2"
"3","M Yoshikawa;K Ishihara;K Tanaka","Schema Design, Views and Incomplete Information in Object-oriented Databases,"," English Trans of IPSJ","1","103","3"
"4","K Tanaka;Kaname Harumoto ; Keishi Tajima ; Masahiko Tsukamoto ; Masatoshi Arikawa ; Shinji Shimojo ; Shojiro Nishio ; Yasuo Ariki","An Advanced Processing Environment for Managing the Continuous and Semistructured Features of Multimedia Content ","ADBIS Advances Databases and Information Systems DASFAA Database Systems for Advanced Applications","1","16","4"
"5","M Yoshikawa;K Ishihara;K Tanaka","Schema Virtualization in Object-Oriented Databases,","Proc of the th IEEE Int Conf Data Engineering","1","104","5"
"6","K Tanaka;Kenji Hatano ; Ryouichi Sano ; Yiwei Duan","An Interactive Classification of Web Documents by Self-Organizing Maps and Search Engines ","DASFAA Database Systems for Advanced Applications","1","17","6"
"7","M Yoshikawa;K Tanaka","Towards Abstracting Complex Database Objects: Generalization, Reduction and Unification of Set-type Objects Extended Abstract ,","Proc Int Conf Database Theory Lecture Notes Computer Science Springer Verlag","1","105","7"
"8","K Tanaka;Akiyo Nadamoto ; Kazutoshi Sumiya ; Masaki Shikata","MWM: Retrieval and Automatic Presentation of Manual Data for Mobile Terminals ","DEXA Database and Expert Systems Applications","1","50","8"
"9","K Tanaka;Kenji Hatano ; Qing Qian","A SOM-Based Information Organizer for Text and Video Data ","DASFAA Database Systems for Advanced Applications","1","18","9"
"10","K Tanaka;Koji Zettsu ; Yutaka Kidawara","Image Retrieval by Web Context: Filling the Gap between Image Keywords and Usage Keywords ","DEXA Database and Expert Systems Applications","1","106","10"
"11","K Tanaka;Akiyo Nadamoto ; Hiroyuki Kondo","WebCarrousel: Restructuring Web Search Results for Passive Viewing in Mobile Environments ","DASFAA Database Systems for Advanced Applications","1","51","11"
"12","K Tanaka;Tatsuo Hirose ; Toshihiko Hata ; Y Nakanishi","Querying Multiple Perspective Video by Camera Metaphor ","DASFAA Database Systems for Advanced Applications","1","19","12"
"13","K Tanaka;Koji Zettsu ; Kuniaki Uehara","Semantic Structures for Video Data Indexing ","AMCP Advanced Multimedia Content Processing","1","107","13"
"14","K Tanaka;Akiyo Nadamoto ; Hiroyuki Kondo","WebCarousel: Automatic Presentation and Semantic Restructuring of Web Search Result for Mobile Environments ","DEXA Database and Expert Systems Applications","1","52","14"
"15","K Tanaka;Kohji Zettsu ; Kuniaki Uehara ; Nobuo Kimura","A Time-Stamped Authoring Graph for Video Databases ","DEXA Database and Expert Systems Applications","1","108","15"
"16","K Tanaka;Akiyo Nadamoto ; Kengo Koiso","Associating and Presenting Metadata of Digital Archive Objects in Virtual Spaces as Synchronized Multimedia Content ","Kyoto International Conference Digital Libraries","1","53","16"
"17","K Tanaka;Akiyo Nadamoto ; Atsushi Iizawa ; Kazutoshi Sumiya ; Taeko Hattori ; Takako Hashimoto ; Yukari Shirota","A TV Program Generation System using Digest of Video Scenes and a Scripting Markup Language ","HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES","1","54","17"
"18","K Tanaka;K Nanba ; N Nishikawa ; S Hirayama","Query Pairs as Hypertext Links ","ICDE International Conference Data Engineering","1","55","18"
"19","N Nishikawa;S Hirayama;K Nanba;K Tanaka","Query Pairs As Hypertext Links","Proc of the th Int Conf Data Engineering IEEE Computer Society","1","56","19"
"20","S Nishio;K Tanaka","Obase Object Database Model: Towards a More Flexible Object-Oriented Database System,","Proc Int Symp Next Generation Database Systems and Their Applications NDA Fukuoka Cpp","1","57","20"
"21","K Tanaka","Towards an Integrated Environment for Editing, Viewing and Publishing Multimedia Database Objects,","Proc Int Symp Computer World","1","90","21"
"22","K Tanaka;Eitetsu Ohmoto","HistoryChart: A Visual Language for Historical Databases ","DASFAA Database Systems for Advanced Applications","1","58","22"
"23","K Tanaka","Tutorial: Object-Oriented Database,","Int Symp Database Systems for Advanced Applications Seoul Korea","1","91","23"
"24","K Tanaka;Hiroaki Oiso ; Jun-ya Morishita ; Kazuhiro Ohtsuki ; Qing Qian ; Shinichi Ueshima","Incremental Data Organization for Ancient Document Databases ","DASFAA Database Systems for Advanced Applications","1","59","24"
"25","K Tanaka;Kuniaki Uehara ; Yutaka Kidawara","Encapsulating Multimedia Contents and a Copyright Protection Mechanism into Distributed Objects ","DEXA Database and Expert Systems Applications","1","92","25"
