"","AuthorID","PaperNO","QuestAuthor","Coauthor","Paper","Journal"
"1","1","1","C Chen","","Behavioural Patterns of Collaborative Writing with Hypertext - A State Transition Approach ","BCS British Computer Society HCI Human Computer Interaction"
"2","1","2","C Chen","","Bridging the Gap: The Use of Pathfinder Networks in Visual Navigation ","J Vis Lang Comput"
"3","1","3","C Chen","","Domain Visualization for Digital Libraries ","IV"
"4","1","4","C Chen","","Generalised similarity analysis and pathfinder network scaling ","Interacting with Computers"
"5","1","5","C Chen","","Visualising Information: A Mosaic of Perspectives ","VISUAL Visual Information and Information Systems"
"6","1","6","C Chen","","Visualising Semantic Spaces and Author Co-Citation Networks in Digital Libraries ","Inf Process Manage"
"7","1","7","C Chen","","Information Visualization ","Information Visualization"
"8","1","8","C Chen","","Information visualization is growing ","Information Visualization"
"9","1","9","C Chen","","Articles in this issue ","Information Visualization"
"10","1","10","C Chen","","Aesthetics versus Functionality ","Information Visualization"
"11","1","11","C Chen","","The StarWalker virtual environment - an integrative design for social navigation ","HCI Human Computer Interaction"
"12","1","12","C Chen","","Tracking Latent Domain Structures: An Integration of Pathfinder and Latent Semantic Analysis ","AI Artificial Intelligence Soc"
"13","1","13","C Chen","C Analysis","Hypertext",""
"14","1","14","C Chen","C B&ouml;rner","Visual interfaces to digital libraries ","JCDL ACM IEEE Joint Conference Digital Libraries"
"15","1","15","C Chen","C B&ouml;rner","Visual Interfaces to Digital Libraries: Motivation, Utilization, and Socio-technical Challenges ","Visual Interfaces to Digital Libraries"
"16","1","16","C Chen","C B&ouml;rner","Workshop : visual interfaces to digital libraries - its past, present, and future ","JCDL ACM IEEE Joint Conference Digital Libraries"
"17","1","17","C Chen","C B&ouml;rner","Top Ten Problems in Visual Interfaces to Digital Libraries ","Visual Interfaces to Digital Libraries"
"18","1","18","C Chen","C Carr","Visualizing the Evolution of a Subject Domain: A Case Study ","IEEE Visualization"
"19","1","19","C Chen","C Carr","A Semantic-Centric Approach to Information Visualization ","IV"
"20","1","20","C Chen","C Carr","Trailblazing the Literature of Hypertext: Author Co-Citation Analysis - ","Hypertext"
"21","1","21","C Chen","","Bridging the gap: The use of Pathfinder networks in visual navigation ","Journal of Visual Languages and Computing"
"22","1","22","C Chen","C Czerwinski","From latent semantics to spatial hypermedia: An integrated approach ","Proceedings of the th ACM Conference Hypertext Hypertext"
"23","1","23","C Chen","C OÂ¡Â¯Keefe","Fitting the jigsaw of citations: Information visualization in domain analysis ","Journal of the American Society for Information Science and Technology"
"24","1","24","C Chen","","Augmenting user interfaces for digital libraries virtual reality ","Proceedings of the st International Conference System Sciences HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES IEEE Computer Society"
"25","1","25","C Chen","","Generalised similarity analysis and pathfinder network scaling ","Interacting Computers"
"26","1","26","C Chen","C Rada","How did university departments interweave the Web: A study of connectivity and underlying factors ","Interacting Computers"
"27","1","27","C Chen","C Paul","Visualizing a knowledge domainÂ¡Â¯s intellectual structure ","IEEE Computer"
"28","1","28","C Chen","C Carr","Visualizing the evolution of a subject domain: A case study ","Proceedings of IEEE Visualization"
"29","1","29","C Chen","C Cribbin","Visualising and animating visual information foraging in context ","Proceedings of the th International Conference Human Computer Interaction HCI Human Computer Interaction International"
"30","1","30","C Chen","C Yu","Visualising scientific disciplines on the Web ","Proceedings of the th IFIP International Federation for Information Processing World Computer Congress International Conference Software Theory and Practice"
"31","1","31","C Chen","","Visualising Semantic Spaces and Author Co-Citation Networks in Digital Libraries ","Information Processing Management"
"32","1","32","C Chen","C Rada","Modelling situated actions in collaborative hypertext databases ","Journal of Computer Mediated Communication"
"33","1","33","C Chen","C Czerwinski","Empirical evaluation of information visualizations: An introduction International","Journal of Human Computer Studies"
"34","1","34","C Chen","C Macredie","Individual differences in virtual environments: Introduction and overview ","Journal of the American Society for Information Science"
"35","1","35","C Chen","","Writing collaborative hypertext: Analysis and modelling ","Journal of the American Society for Information Science"
"36","1","36","C Chen","C Davies","Integrating spatial, semantic, and social structures for knowledge management ","Proceedings of the International Conference System Sciences HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES IEEE Computer Society"
"37","1","37","C Chen","C Rada","Interacting hypertext: A meta-analysis of experimental studies ","Human Computer Interaction"
"38","1","38","C Chen","","Representing the semantics of virtual spaces ","IEEE Multimedia"
"39","1","39","C Chen","C Rosin","Similarity-based image browsing ","Proceedings of the th IFIP International Federation for Information Processing World Computer Congress"
"40","1","40","C Chen","C Czerwinski","Spatial ability and visual navigation: An empirical study ","New Reviews of Hypermedia and Multimedia"
"41","1","41","C Chen","","Structuring and visualising the World-Wide Web Generalised Similarity Analysis ","Proceedings of the th ACM Conference Hypertext Hypertext"
"42","1","42","C Chen","C Carr","Trailblazing the literature of hypertext: An author co-citation analysis","Proceedings of the th ACM Conference Hypertext Hypertext"
"43","1","43","C Chen","J Cole; L Thomas","Representing the Semantics of Virtual Spaces ","IEEE MultiMedia"
